"species" "CH_status" "THALLUS_type1" "THALLUS_type2" "THALLUS_type3" "THALLUS_type4" "THA_Morpho_type1" "THA_Morpho_type2" "THA_Morpho_type3" "THA_Morpho_type4" "THA_Morpho_type5" "THA_Morpho_type6" "THA_Morpho_type7" "THA_Morpho_type8" "THA_Morpho_type9" "THA_Morpho_type10" "THA_Morpho_type11" "THA_Morpho_type12" "THA_Morpho_type13" "THA_Morpho_type14" "THA_Growth1" "THA_Growth2" "THA_Growth3" "THA_Growth4" "THA_Growth5" "THA_Growth6" "THA_Growth7" "THA_Growth8" "THA_Growth9" "THA_Growth10" "THA_Growth11" "THA_Growth12" "THA_Pruinosity" "THA_Cilia" "THA_UpCol_black" "THA_UpCol_brown" "THA_UpCol_white" "THA_UpCol_yellow" "THA_UpCol_grey" "THA_UpCol_red" "THA_UpCol_green" "THA_UpCol_blue" "THA_LowCol_black" "THA_LowCol_brown" "THA_LowCol_white" "THA_LowCol_yellow" "THA_LowCol_grey" "THA_LowCol_red" "THA_LowCol_green" "THA_LowCol_blue" "THA_Rhizines" "THA_Rhizines_type1" "THA_Rhizines_type2" "THA_Rhizines_type3" "THA_Rhizines_type4" "THA_Rhizines_type5" "THA_Rhizines_type6" "THA_Rhizines_type7" "THA_Isidia" "THA_Soredia" "Ascomata" "ASCOMA_type1" "ASCOMA_type2" "ASCOMA_type3" "ASCM_link1" "ASCM_link2" "ASCM_link3" "ASCM_link4" "ASCM_link5" "ASCM_Paraphyses" "ASCOPORES_mean" "ASCP_PigmentCol1" "ASCP_PigmentCol2" "ASCP_PigmentCol3" "ASCP_PigmentCol4" "ASCP_PigmentCol5" "ASCP_PigmentCol6" "ASCP_PigmentCol7" "ASCP_PigmentCol8" "ASCP_PigmentCol9" "ASCP_PigmentCol10" "ASCP_PigmentCol11" "ASCP_PigmentCol12" "ASCP_Septa" "ASCP_Septa_type1" "ASCP_Septa_type2" "ASCP_TransSepta_lower" "ASCP_TransSepta_mean" "ASCP_TransSepta_upper" "ASCP_Perispore_type1" "ASCP_Perispore_type2" "ASCP_Perispore_type3" "ASCP_Perispore_type4" "ASCP_Perispore_type5" "PPhotobiont" "SPhotobiont" "PPhotobiont_type1" "PPhotobiont_type2" "PPhotobiont_type3" "Fos" "Ter" "Aqu" "Arb" "Aer" "Life_type1" "Life_type2" "Life_type3" "Life_type4" "Life_type5" "Substrate" "Substrate_type1" "Substrate_type2" "Substrate_type3" "Substrate_type4" "Substrate_type5" "Substrate_type6" "Substrate_type7" "Substrate_type8" "Substrate_type9" "EIV_Light" "EIV_Temp" "EIV_Cont" "EIV_Moisture" "EIV_pH" "EIV_Eutroph" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Buellia scheideggeriana" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 1 0 0 "present" 8 1 0 0 0 0 0 1 0 0 0 0 0 "present" 1 1 3 3 1 NA NA NA NA NA "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA "Buellia scheideggeriana Bricaud & Roux" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia spuria" NA 0 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 1 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Buellia spuria (Schaer.) Anzi" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia stellulata" NA 0 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 1 NA NA NA NA NA NA NA NA "Buellia stellulata (Taylor) Mudd" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia subdisciformis" NA 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 1 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 0 1 0 0 "present" NA 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Buellia subdisciformis (Leight.) Jatta" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia subdispersa" NA 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 1 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 1 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 3 NA 0 0 1 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 0 1 0 1 NA NA NA NA NA NA NA NA "Diplotomma lutosum A.Massal." "SPECIES" "Diplotomma" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia subsquamosa" NA 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 0 1 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA "Buellia subsquamosa J.Steiner" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia tirolensis" NA 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 1 1 0 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 0 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Buellia tirolensis Körb., 1860" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia uberior" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Buellia uberior Anzi" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia uberiuscula" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA "Buellia uberiuscula (Nyl.) Zahlbr." "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia vilis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 0 1 0 0 "present" 8 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 1 NA NA NA NA NA NA NA NA "Buellia vilis Th.Fr., 1867" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Buellia violaceofusca" NA 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 1 1 0 1 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent" "present" "absent" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Buellia violaceofusca G.Thor & Muhr" "SPECIES" "Buellia" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Bunodophoron melanocarpum" NA 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA NA 0 0 1 0 1 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 1 1 0 1 "absent, present" 8 0 1 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 1 0 0 0 1 1 1 0 NA NA NA NA NA NA NA NA "Bunodophoron melanocarpum (Sw.) Wedin" "SPECIES" "Bunodophoron" "Sphaerophoraceae" "Lecanorales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Byssoloma marginatum" "EN" 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 1 1 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 0 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 NA 3 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 1 0 0 0 0 1 0 NA 1 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Byssoloma marginatum (Arnold) Sérus." "SPECIES" "Byssoloma" "Byssolomataceae" "Lecanorales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Byssoloma subdiscordans" NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 0 1 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 0 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 NA 3 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 1 0 0 0 0 1 0 NA 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA "Byssoloma subdiscordans (Nyl.) P.James" "SPECIES" "Byssoloma" "Byssolomataceae" "Lecanorales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Caeruleum heppii" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 1 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 1 NA NA NA NA NA NA NA NA "Caeruleum heppii (Arnold) K.Knudsen & Arcadia" "SPECIES" "Caeruleum" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium abietinum" "NT" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium abietinum Pers." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium adaequatum" "EN" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Allocalicium adaequatum (Nyl.) M.Prieto & Wedin" "SPECIES" "Allocalicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium adspersum" "VU" 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 NA NA 0 0 0 1 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 1 1 0 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 0 0 0 1 0 0 0 0 1 0 "R" 0 0 0 1 1 0 0 0 0 0.333333333333333 0.555555555555556 4 0.444444444444444 0.222222222222222 0.125 NA NA "Calicium adspersum Pers." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium corynellum" NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 1 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 1 1 0 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA NA NA NA NA NA "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Calicium corynellum (Ach.) Ach." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium denigratum" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 1 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium denigratum (Vain.) Tibell" "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium glaucellum" "LC" NA NA NA NA 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 0 0 0 1 0 0 0 0 1 0 "HR" 0 0 0 1 1 0 0 0 0 0.222222222222222 0.333333333333333 6 0.555555555555556 0.222222222222222 0 NA NA "Calicium glaucellum Ach." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium lenticulare" "VU" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 1 1 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 1 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium lenticulare Ach." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium montanum" "LC" 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 1 0 0 0 1 0 "present" 1 0 NA 1 NA 1 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium montanum Tibell, 1999" "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium parvum" "VU" NA NA NA NA 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium parvum Tibell" "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium pinastri" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium pinastri Tibell" "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium quercinum" "VU" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 1 0 0 0 0 NA NA NA NA NA NA NA NA "Calicium quercinum Pers." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium salicinum" "LC" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 0 0 0 1 0 0 0 0 1 0 "HR" 0 0 0 1 1 0 0 0 0 0.222222222222222 0.333333333333333 6 0.444444444444444 0.333333333333333 0.125 NA NA "Calicium salicinum Pers." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium trabinellum" "LC" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 1 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 0 0 0 1 0 0 0 0 1 0 "HR" 0 0 0 1 1 0 0 0 0 0.444444444444444 0.222222222222222 6 0.666666666666667 0.222222222222222 0 NA NA "Calicium trabinellum (Ach.) Ach." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Calicium viride" "LC" 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 1 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 0 1 0 0 0 0 0 1 NA NA 0 0 0 0 0 0 0 0 0 0 1 0 "present" 1 0 NA 1 NA 0 0 0 1 0 "present" "absent" 0 1 0 0 0 0 1 0 0 0 0 1 0 "HR" 0 0 0 1 1 0 0 0 0 0.222222222222222 0.333333333333333 6 0.666666666666667 0.111111111111111 0.125 NA NA "Calicium viride Pers." "SPECIES" "Calicium" "Caliciaceae" "Caliciales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Caloplaca albolutescens" "NE" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "absent, present" 1 0 NA 1 NA 1 0 0 0 0 "present" "absent" 0 1 0 0 1 0 0 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 1 1 0.777777777777778 0.888888888888889 5 0.111111111111111 0.777777777777778 0.875 NA NA "Kuettlingeria albolutescens (Nyl.) I.V.Frolov, Vondrák & Arup" "SPECIES" "Kuettlingeria" "Teloschistaceae" "Teloschistales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Caloplaca albopruinosa" NA 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "absent, present" 1 0 NA 1 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 0 1 NA NA NA NA NA NA NA NA "Pyrenodesmia albopruinosa (Arnold) S.Y.Kondr." "SPECIES" "Pyrenodesmia" "Teloschistaceae" "Teloschistales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Caloplaca alnetorum" "VU" 1 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "absent, present" 1 0 NA 1 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 0 0 1 0 0 0 0 1 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "Athallia alnetorum (Giralt, Nimis & Poelt) Arup, Frödén & Søchting" "SPECIES" "Athallia" "Teloschistaceae" "Teloschistales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Caloplaca alociza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0 0 0 0 0 0 0 NA NA 0 0 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 0 0 0 NA 8 1 0 0 0 0 0 0 0 0 0 0 0 "absent, present" 1 0 NA 1 NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA "Pyrenodesmia alociza (A.Massal.) Arnold" "SPECIES" "Pyrenodesmia" "Teloschistaceae" "Teloschistales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
