"species" "Genus" "Family" "Order" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "RangeSize_km2" "IUCN_status" "Riparian_sp" "BodyWidth_mm" "BodyHeight_mm" "Head_length_mm" "Head_width_mm" "Eye_area_mm2" "Antenna_length_mm" "Mandible_length_mm" "Proximal_mandible_width_mm" "Front_leg_length_mm" "Mid_leg_length_mm" "Hind_leg_length_mm" "Wing_morphology" "Elytra_length_mm" "Elytra_width_mm" "Wing_length_mm" "Wing_width_mm" "Wing_area_mm2" "Hairiness_total" "Colour_lightness" "Biotope_range" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Abax parallelepipedus subsp. lombardus" "Abax" NA "Coleoptera" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 0 1 0 0 1 0 0 NA 0 0 0 NA NA NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "stenotop" "Abax parallelepipedus lombardus A.Fiori, 1896" "SUBSPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Abax parallelepipedus subsp. parallelepipedus" "Abax" NA "Coleoptera" 19 NA NA 16 22 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 0 1 0 0 1 0 0 NA 0 0 0 NA NA NA NA 0.5 NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "stenotop" "Abax parallelepipedus parallelepipedus" "SUBSPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Abax parallelus" NA "Carabidae" "Coleoptera" 15.5 NA NA 13 18 16 NA NA 165 NA NA NA NA NA NA 0 0 0 1 "Cathemeral" NA "Carnivorous" NA "polyphagous" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 1 1 1 1 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA 0.333333333333333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA NA "Abax parallelus (Duftschmid, 1812)" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abax parallelus subsp. parallelus" "Abax" NA "Coleoptera" 15.5 NA NA 13 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 0 1 0 0 1 1 0 NA 1 0 0 NA NA NA NA 0.75 1 1 1 1 1 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" "Abax parallelus parallelus" "SUBSPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Abdera affinis" NA "Melandryidae" "Coleoptera" 3.087 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.142 0.818 0.4 0.585 0.032 1.094 0.202 0.112 0.826 0.984 1.065 NA 2.205 0.545 3.045 0.926 2.146 71.744 113.25 NA "Abdera affinis (Paykull, 1799)" "SPECIES" "Abdera" "Melandryidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abdera flexuosa" NA "Melandryidae" "Coleoptera" 4.635 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.625 0.961 0.652 0.721 0.045 1.027 NA NA 1.343 1.618 1.693 NA 3.053 0.789 NA NA NA 72.742 127.46 NA "Abdera flexuosa (Paykull, 1799)" "SPECIES" "Abdera" "Melandryidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abraeus granulum" NA "Histeridae" "Coleoptera" 1.675 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.977 0.774 0.438 0.44 0.011 0.502 0.212 0.087 0.722 0.654 0.742 NA 0.787 0.472 1.934 0.934 1.478 39.745 120.93 NA "Abraeus granulum Erichson, 1839" "SPECIES" "Abraeus" "Histeridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abraeus perpusillus" NA "Histeridae" "Coleoptera" 1.558 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.096 0.835 0.261 0.479 0.015 0.541 0.181 0.096 0.848 0.775 0.839 NA 1.038 0.489 3.035 0.836 2.296 54.383 117.28 NA "Abraeus perpusillus (Marsham, 1802)" "SPECIES" "Abraeus" "Histeridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalles camelus" NA "Curculionidae" "Coleoptera" 4.056 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.906 1.709 1.812 0.809 0.053 0.926 0.198 0.137 2.186 2.184 2.333 NA 2.464 0.885 NA NA NA 0 125.44 NA "Acalles camelus (J.C.Fabricius, 1792)" "SPECIES" "Acalles" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalles echinatus" NA "Curculionidae" "Coleoptera" 2.157 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.1 1.254 0.893 0.559 0.016 0.752 0.06 0.044 1.294 1.272 1.283 NA 1.361 0.598 NA NA NA 24.268 116.64 NA "Acalles echinatus Bed., 1882-88" "SPECIES" "Acalles" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalles fallax" NA "Curculionidae" "Coleoptera" 2.809 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.504 1.353 1.355 0.706 NA NA NA NA 1.696 1.589 1.723 NA 1.853 0.748 NA NA NA 0 110.19 NA "Acalles fallax Boheman, 1844" "SPECIES" "Acalles" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalles lemur" NA "Curculionidae" "Coleoptera" 2.343 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.197 1.265 1.19 0.595 0.03 0.869 0.128 0.074 1.067 1.045 1.243 NA 1.567 0.511 NA NA NA 18.779 118.87 NA "Acalles lemur Meyer, 1908" "SPECIES" "Acalles" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalles ptinoides" NA "Curculionidae" "Coleoptera" 2.246 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.108 1.013 0.806 0.504 0.035 0.741 0.121 0.045 1.268 1.071 1.114 NA 1.462 0.529 NA NA NA 17.185 120.57 NA "Acalles ptinoides Dej., 1836" "SPECIES" "Acalles" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acallocrates denticollis" NA "Curculionidae" "Coleoptera" 4.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.046 1.97 1.857 0.886 0.094 1.372 0.142 0.054 2.324 2.246 2.566 NA 3.2 1.011 NA NA NA 17.988 113.39 NA "Acallocrates denticollis (E.F.Germar, 1823)" "SPECIES" "Acallocrates" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acalyptus carpini" NA "Curculionidae" "Coleoptera" 2.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA "monophagous" 0 0 0 0 0 1 1 0 1 NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acalyptus carpini (J.C.Fabricius, 1792)" "SPECIES" "Acalyptus" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acanthobodilus immundus" NA "Scarabaeidae" "Coleoptera" 5.5 NA NA 6 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Scavenger" "Scavenger" "polyphagous" "polyphagous" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthobodilus immundus (Creutzer, 1799)" "SPECIES" "Acanthobodilus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acanthocinus aedilis" NA "Cerambycidae" "Coleoptera" 14.097 NA NA 12 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" "Herbivorous" NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 1 0 1 0 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.376 4.003 3.258 2.876 0.718 55.834 0.971 0.534 6.501 7.522 8.919 NA 9.713 2.496 14.491 5.226 65.196 43.871 147.6 NA "Acanthocinus aedilis (Linnaeus, 1758)" "SPECIES" "Acanthocinus" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acanthocinus griseus" NA "Cerambycidae" "Coleoptera" 8.97 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.856 2.426 1.875 1.628 0.414 23.939 0.444 0.27 3.622 4.398 5.697 NA 6.089 1.389 10.334 3.542 29.794 65.244 137.77 NA "Acanthocinus griseus (Fabricius, 1793)" "SPECIES" "Acanthocinus" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acanthocinus reticulatus" NA "Cerambycidae" "Coleoptera" 11.521 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.813 2.977 2.386 2.196 0.436 21.62 0.948 0.435 4.993 6.247 6.973 NA 7.675 1.726 11.892 4.214 40.807 33.097 150.34 NA "Acanthocinus reticulatus (Razoumowsky, 1789)" "SPECIES" "Acanthocinus" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acarodes gutta" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.25341762139666 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acarodes gutta Woll., 1877" "SPECIES" "Acarodes" "Anthribidae" "Coleoptera" "Insecta" "Arthropoda" "ENDANGERED"
"Accrosus carpetanus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 146507.898876663 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acrossus carpetanus (Graëlls, 1847)" "SPECIES" "Acrossus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Accrosus siculus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4630.72423258588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acrossus siculus (Harold, 1862)" "SPECIES" "Acrossus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Accrosus tingitanus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 51992.0029525206 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acrossus tingitanus (Reitter, 1892)" "SPECIES" "Acrossus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acmaeoderella flavofasciata" NA "Buprestidae" "Coleoptera" 7.667 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.927 2.504 1.244 1.714 0.494 1.667 0.385 0.193 2.157 2.151 2.455 NA 5.853 1.484 6.274 2.781 13.653 10.787 106.78 NA "Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)" "SPECIES" "Acmaeoderella" "Buprestidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acmaeops marginatus" NA "Cerambycidae" "Coleoptera" 8.608 NA NA 7 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" "Herbivorous" NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 1 0 1 0 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 2.708 2.576 1.332 1.543 0.249 5.723 0.741 0.121 4.147 4.489 6.191 NA 5.714 1.444 7.889 3.05 19.643 13.408 124.99 NA "Acmaeops marginatus (Fabricius, 1781)" "SPECIES" "Acmaeops" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acmaeops pratensis" NA "Cerambycidae" "Coleoptera" 6.882 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.661 2.367 1.74 1.526 0.246 5.813 0.808 0.307 3.914 4.471 5.667 NA 4.932 1.266 6.744 2.405 13.185 28.542 135.93 NA "Gnathacmaeops pratensis (Laicharting, 1784)" "SPECIES" "Gnathacmaeops" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acmaeops septentrionis" NA "Cerambycidae" "Coleoptera" 9.007 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.067 2.506 1.936 1.67 0.256 6.099 0.864 0.326 5.184 5.798 8.191 NA 6.173 1.549 11.339 4.137 41.186 17.063 116.37 NA "Acmaeops septentrionis (C.G.Thomson, 1866)" "SPECIES" "Acmaeops" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acritus minutus" NA "Histeridae" "Coleoptera" 1.398 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698 0.435 0.296 0.307 0.005 0.402 0.126 0.088 0.503 0.588 0.531 NA 0.607 0.361 1.439 0.615 0.751 48.972 109.14 NA "Acritus minutus (Herbst, 1791)" "SPECIES" "Acritus" "Histeridae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Acrotona parvula" NA "Staphylinidae" "Coleoptera" 2.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acrotona parvula (Mannerheim, 1830)" "SPECIES" "Acrotona" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
