"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up" "MISSING_ALL_TRAITS"
"Acrobolbus azoricus" "Acrobolbus azoricus (Grolle & Perss.) Briscoe" "SPECIES" "accepted" "Acrobolbus azoricus (Grolle & Perss.) Briscoe" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 399.373203370624 "foliose" "mat" "perennial" 1 "erect" 0 1 0 "dioicous" "rare" 16.7 16.56 54.46 27.3024 0 482 0 0 0 0 0 "common" 0 18.72 159.7 1.8 5.92 20.94 74.4 5.44 13.16 41.9066666666667 0 15.6 1 256.84 0 93.88 0 11.04 0 0.24 0.16 1.36 5.44 2.96 3.96 2.72 4.08 0.16 6.04 3.56 3.92 2.2 14.95 1472.95 10 755 1500 "NO"
"Acrobolbus madeirensis" "Acrobolbus madeirensis (Grolle & Perss.) Briscoe" "SPECIES" "accepted" "Acrobolbus madeirensis (Grolle & Perss.) Briscoe" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 15.0072181212323 "foliose" "mat" "perennial" 1 "erect" 0 1 0 "dioicous" "rare" 16.7 15.42 74.3668 23.09 0 573.08 0 0 0 0 0 "common" 1 16.46 140.7 0.68 3.9 14.96 51.8 5.72 13.74 52.3733333333333 0 13.92 1 190.22 0 80.22 0 10.2 0 0.08 0 0.78 5.8 3.04 3.68 2.44 3.96 0 5.76 3.28 4.08 2.2 13.7 2913.65 600 950 1300 "NO"
"Acrobolbus wilsonii" "Acrobolbus wilsonii Nees" "SPECIES" "accepted" "Acrobolbus wilsonii Nees" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 19067.0942988928 "foliose" "mat" "longLived_shuttle" 1 "erect" 0 1 0 "monoicous" "rare" 16.7 11.16 20 21 0 529.2 0 0 0 0 0 "common" 1 7.56 67.3 0.24 1.66 7.44 18.6 2.92 7.4 22.2 1 9.26 0 74.14 0 46.92 1 7.24 0 0.04 0 0.4 5.92 3.16 3 2.08 3.32 0 5.36 3.2 5 2.12 8.75 2448.15 20 585 1150 "NO"
"Adelanthus lindenbergianus" "Adelanthus lindenbergianus (Lehm.) Mitt." "SPECIES" "accepted" "Adelanthus lindenbergianus (Lehm.) Mitt." "Adelanthus" "Adelanthaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "EN" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27855.5421375009 "foliose" "turf" "perennial" 0 "erect" 0 1 0 "dioicous" "rare" 16.7 20.36 100 13 1 614.4 1 0 0 0 0 "common" 1 31.4 192.46 0.6 6.16 15.4 48.32 6.76 12.76 19.52 1 28.76 0 40.9 0 52.26 0 4.8 0 0.04 0.08 0.72 6.04 3.2 2 2.52 3.48 0 4.2 2.88 6 2.62 9.35 1914.75 350 505 660 "NO"
"Alleniella besseri" "Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt" "Alleniella" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 50099.1274460822 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 11.04 50 14 1 448.08 0 0 0 0 1 "common" 1 0 1 0 0 1 15 0 0 4 0 0 0 7 0 1 0 0 0 0 0 0 5 3 9 4 4 0 3 4 4 2 5.65 712.6 200 950 1700 "NO"
"Alleniella complanata" "Alleniella complanata (Hedw.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Alleniella complanata (Hedw.) S.Olsson, Enroth & D.Quandt" "Alleniella" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 408985.795034628 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 10 50 20 1 472.88 0 0 0 0 1 "common" 1 1 35 0 8 13 108 0 3 54 1 3 1 320 1 42 0 0 0 0 0 0 4 3 7 3.88 6 0 3 4 4 2 6.55 701.2 0 935 1870 "NO"
"Aloina aloides" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "SPECIES" "accepted" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "EN" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 28828.9433710511 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 5.574 5 18 0 476.08 0 0 0 0 0 "common" 1 0 13 1 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 9 5 3 0 6 4 7 4 10.05 798 0 400 800 "NO"
"Aloina aloides aggr." "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "AGGREGATE" "accepted" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle EN" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 221682.162910909 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 4.05 5 18 0 460.8 0 0 0 0 0 "common" 1 0 13 1 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 9 5 3 0 6 4 7 4 10.05 798 0 400 800 "NO"
"Aloina ambigua" "Aloina ambigua (Bruch & Schimp.) Limpr." "SPECIES" "accepted" "Aloina ambigua (Bruch & Schimp.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 188177.689625988 "acrocarpous" "annual" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 3.79 4.25 16 0 452.88 0 0 0 0 0 "common" 1 1 6 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 8 5 5 0 6 4 7 4 9.65 706 10 1055 2100 "NO"
"Aloina bifrons" "Aloina bifrons (De Not.) Delgad." "SPECIES" "accepted" "Aloina bifrons (De Not.) Delgad." "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 12896.2157244982 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 8.32 5.5 16 0 557.88 0 0 0 0 0 "common" 0 7.8 73.48 0.32 9.08 6.34 48.38 3.52 4.12 10.2 1 2.16 0 7.52 0 7.68 0 0.36 0 0 0.08 0.96 3.2 1.6 7.04 4.36 4.24 0.04 8 4.28 7.56 3.64 14.75 427.6 3 451.5 900 "NO"
"Aloina brevirostris" "Aloina brevirostris (Hook. & Grev.) Kindb." "SPECIES" "accepted" "Aloina brevirostris (Hook. & Grev.) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 536947.835560112 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "both" "common" 6.7 4.8 2 18 0 540.48 0 0 0 0 0 "common" 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 3 6 5 6 0 2 3 8 4 6.55 684 0 1260 2520 "NO"
"Aloina humilis" "Aloina humilis M.T.Gallego, M.J.Cano & Ros" "SPECIES" "accepted" "Aloina humilis M.T.Gallego, M.J.Cano & Ros" "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54.1037354726429 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 7.8 11.9512 25.72 0 489.76 0 0 0 0 0 "common" 0 9.05333333333333 84.7 0.68 5.42 13.12 55.08 1.92 4.84 15.4 1 3.56 0 22.76 0 15.92 0 1.56 0 0 0.04 0.62 3.68 1.8 6.6 4.08 4.72 0.04 7.8 4.2 7 3.28 18.2 309.9 250 475 700 "NO"
"Aloina obliquifolia" "Aloina obliquifolia (Müll.Hal.) Broth." "SPECIES" "accepted" "Aloina obliquifolia (Müll.Hal.) Broth." "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA "No" "CR" "LC" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 49781.4443662935 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 8.04 18.954 17.44 0 612.4 0 0 0 0 0 "common" 1 5.48 58.7933333333333 0.78 6 8.08 35.24 2.2 3.96 13.44 1 3.04 0 11.8 0 8.52 0 0.52 0 0 0.04 0.6 3.64 2 7 5 3 0.52 7.08 4 7.84 4 12.928 705.462 0 100 200 "NO"
"Aloina rigida" "Aloina rigida (Hedw.) Limpr." "SPECIES" "accepted" "Aloina rigida (Hedw.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 251615.334805804 "acrocarpous" "annual" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 4.55 2.5 15 0 574.08 0 0 0 0 0 "common" 1 1 33 0 3 0 15 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 2 6 5 4 0 4 4 7 4 6.65 690.8 0 0 0 "NO"
"Aloina rigida aggr." "Aloina rigida (Hedw.) Limpr." "AGGREGATE" "accepted" "Aloina rigida (Hedw.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR bis NT" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 299793.996589476 "acrocarpous" "annual" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 4.91 2.5 15 0 448.56 0 0 0 0 0 "common" 1 1 33 0 3 0 15 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 2 6 5 4 0 4 4 7 4 6.65 690.8 0 0 0 "NO"
"Alophosia azorica" "Alophosia azorica (Renauld & Cardot) Cardot" "SPECIES" "accepted" "Alophosia azorica (Renauld & Cardot) Cardot" "Alophosia" "Polytrichaceae" "Polytrichales" "Polytrichopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2614.28153417678 "acrocarpous" "turf" "shortLived_shuttle" 0 "erect" 0 1 0 "monoicous" "common" 8.3 19.84 200 28.59 1 420.28 1 0 0 0 0 "common" 1 47 234.18 2.32 7.36 24.06 53.24 10.24 12.96 20.8 1 34.72 0 27.16 0 51.64 0 4.54 0 0 0.2 1.08 6.08 3.44 3.96 2.68 3.96 0.16 5.8 3.44 4.08 2.32 16.15 1421.55 100 550 1000 "NO"
"Amblyodon dealbatus" "Amblyodon dealbatus (Hedw.) P.Beauv." "SPECIES" "accepted" "Amblyodon dealbatus (Hedw.) P.Beauv." "Amblyodon" "Meesiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "DATA_DEFICIENT" 1 0 NA NA 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 407201.709460897 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "both" "common" 6.7 11.48 20 40 0 619.6 0 0 0 0 0 "common" 1 23 11 1 4 8 3 2 4 2 1 3 0 0 0 0 0 0 0 0 0 0 7 4 7 5 3 0 1 2 8 3 4.55 724.1 0 0 0 "NO"
"Amblystegium confervoides" "Amblystegium confervoides (Brid.) Schimp." "SPECIES" "synonym" "Serpoleskea confervoides (Brid.) Loeske" "Serpoleskea" "Amblystegiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 581503.541326853 "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "monoicous" "rare" 16.7 8 23.33 9 0 303.68 0 0 0 0 0 "common" 1 0 10 0 1 3 64 0 1 4 0 0 0 0 0 2 0 0 0 0 0 0 4 3 8 4 4 0 3 3 5 2 5.45 713.7 0 1050 2100 "NO"
"Amblystegium radicale" "Amblystegium radicale P.Beauv." "SPECIES" "synonym" "Pseudocampylium radicale (P.Beauv.) Vanderp. & Hedenäs" "Pseudocampylium" "Amblystegiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "VU" "LC" "NOT_EVALUATED" 1 0 NA NA 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1014431.84329359 "pleurocarpous" "turf" "colonist" 0 "inclined" 1 1 0 "monoicous" "common" 6.7 45 35 12 0 446.04 0 0 0 0 0 "common" 0 3 0 0 0 0 0 0 0 0 1 5 1 0 1 2 0 0 0 0 0 0 6 5 0 3 3 0 6 4 5 3 8.15 739.9 0 1100 2200 "NO"
"Amblystegium serpens" "Amblystegium serpens (Hedw.) Schimp." "SPECIES" "accepted" "Amblystegium serpens (Hedw.) Schimp." "Amblystegium" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 873144.852230816 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "monoicous" "common" 16.7 23 33.33 11.5 0 470.28 0 0 0 0 0 "common" 1 13 222 1 18 29 173 6 4 39 1 4 1 259 1 157 0 1 0 0 0 5 4 3 6 4 6 2 0 4 5 3 5.55 709 0 1500 3000 "NO"
